timestamp,house_id,energy_consumption_kwh,price_per_kwh
2023-01-01 00:00:00,House A,85.22,0.12
2023-01-01 01:00:00,House A,70.03,0.12
2023-01-01 02:00:00,House A,81.11,0.12
2023-01-01 03:00:00,House A,65.08,0.12
2023-01-01 04:00:00,House A,82.22,0.12
2023-01-01 05:00:00,House A,76.65,0.12
2023-01-01 06:00:00,House A,52.08,0.12
2023-01-01 07:00:00,House A,61.34,0.12
2023-01-01 08:00:00,House A,72.9,0.12
2023-01-01 09:00:00,House A,70.34,0.12
2023-01-01 10:00:00,House A,71.36,0.12
2023-01-01 11:00:00,House A,66.07,0.12
2023-01-01 12:00:00,House A,58.49,0.12
2023-01-01 13:00:00,House A,79.16,0.12
2023-01-01 14:00:00,House A,80.68,0.12
2023-01-01 15:00:00,House A,73.19,0.12
2023-01-01 16:00:00,House A,75.65,0.25
2023-01-01 17:00:00,House A,87.27,0.25
2023-01-01 18:00:00,House A,94.92,0.25
2023-01-01 19:00:00,House A,110.67,0.25
2023-01-01 20:00:00,House A,83.16,0.25
2023-01-01 21:00:00,House A,111.37,0.12
2023-01-01 22:00:00,House A,78.19,0.12
2023-01-01 23:00:00,House A,91.16,0.12
2023-01-02 00:00:00,House A,101.47,0.12
2023-01-02 01:00:00,House A,94.72,0.12
2023-01-02 02:00:00,House A,97.98,0.12
2023-01-02 03:00:00,House A,94.44,0.12
2023-01-02 04:00:00,House A,82.96,0.12
2023-01-02 05:00:00,House A,92.83,0.12
2023-01-02 06:00:00,House A,78.77,0.12
2023-01-02 07:00:00,House A,65.0,0.12
2023-01-02 08:00:00,House A,95.33,0.12
2023-01-02 09:00:00,House A,102.34,0.12
2023-01-02 10:00:00,House A,79.06,0.12
2023-01-02 11:00:00,House A,81.65,0.12
2023-01-02 12:00:00,House A,84.01,0.12
2023-01-02 13:00:00,House A,92.46,0.12
2023-01-02 14:00:00,House A,85.15,0.12
2023-01-02 15:00:00,House A,85.1,0.12
2023-01-02 16:00:00,House A,77.32,0.25
2023-01-02 17:00:00,House A,105.86,0.25
2023-01-02 18:00:00,House A,105.64,0.25
2023-01-02 19:00:00,House A,105.17,0.25
2023-01-02 20:00:00,House A,116.89,0.25
2023-01-02 21:00:00,House A,120.78,0.12
2023-01-02 22:00:00,House A,98.49,0.12
2023-01-02 23:00:00,House A,94.99,0.12
2023-01-03 00:00:00,House A,100.48,0.12
2023-01-03 01:00:00,House A,97.36,0.12
2023-01-03 02:00:00,House A,90.41,0.12
2023-01-03 03:00:00,House A,90.27,0.12
2023-01-03 04:00:00,House A,91.5,0.12
